Year,Sector ID,Sector,GDP
2013,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",167681.3808
2014,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",137265.4999
2014,21,Minería,286040.8583
2014,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",70611.91028
2014,23,Construcción,264056.21
2014,31-33,Industrias manufactureras,826581.3493
2014,43,Comercio al por mayor,385917.4816
2014,46,Comercio al por menor,398907.5895
2014,48-49,"Transportes, correos y almacenamiento",304426.9286
2014,51,Información en medios masivos,86013.40257
2014,52,Servicios financieros y de seguros,149813.7213
2014,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,454104.3675
2014,54,"Servicios profesionales, científicos y técnicos",86849.2689
2014,55,Dirección y administración de grupos empresariales o corporativos,23524.04561
2014,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",151942.9515
2014,61,Servicios educativos,180848.6089
2014,62,Servicios de salud y de asistencia social,102426.0694
2014,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",22607.79434
2014,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,106689.0903
2014,81,Otros servicios excepto actividades gubernamentales,92000.65981
2014,93,"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",178160.2541
2015,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",148312.4857
2015,21,Minería,179017.8236
2015,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",69137.77665
2015,23,Construcción,281434.5841
2015,31-33,Industrias manufactureras,952951.7886
2015,43,Comercio al por mayor,431597.4688
2015,46,Comercio al por menor,426599.2337
2015,48-49,"Transportes, correos y almacenamiento",324735.8244
2015,51,Información en medios masivos,85886.63387
2015,52,Servicios financieros y de seguros,155106.0413
2015,53,Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,474133.057
2015,54,"Servicios profesionales, científicos y técnicos",93524.86403
2015,55,Dirección y administración de grupos empresariales o corporativos,25264.88894
2015,56,"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",158632.5291
2015,61,Servicios educativos,193744.1602
2015,62,Servicios de salud y de asistencia social,110168.302
2015,71,"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",24078.41554
2015,72,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,120436.6919
2015,81,Otros servicios excepto actividades gubernamentales,98265.17209
